type,name,architecture,library
Text Section (Local),+[PBXLSTypeDescription fetchSummaryContentOperationClassNameKey],X86_64,
Text Section (Local),+[PBXLSTypeDescription fetchSummaryValueOperationClassNameKey],X86_64,
Text Section (Local),+[PBXLSTypeDescription fieldNameStringKey],X86_64,
Text Section (Local),+[PBXLSTypeDescription summaryContentFormatStringKey],X86_64,
Text Section (Local),+[PBXLSTypeDescription summaryValueExpressionReturnTypeStringKey],X86_64,
Text Section (Local),+[PBXLSTypeDescription summaryValueExpressionStringKey],X86_64,
Text Section (Local),-[DBGGDBByteStream byteStreamConsumer],X86_64,
Text Section (Local),-[DBGGDBByteStream sendBytes:],X86_64,
Text Section (Local),-[DBGGDBByteStream setByteStreamConsumer:],X86_64,
Text Section (Local),-[DBGGDBCharacterStream characterStreamConsumer],X86_64,
Text Section (Local),-[DBGGDBCharacterStream sendCharacters:],X86_64,
Text Section (Local),-[DBGGDBCharacterStream setCharacterStreamConsumer:],X86_64,
Text Section (Local),-[DBGGDBDataType initWithTypename:withTypeCode:],X86_64,
Text Section (Local),-[DBGGDBDataType isPointer],X86_64,
Text Section (Local),-[DBGGDBDataType isUnknownType],X86_64,
Text Section (Local),-[DBGGDBDataType typeCode],X86_64,
Text Section (Local),-[DBGGDBDataValue _handleChildrenInsertedOrRemoved],X86_64,
Text Section (Local),-[DBGGDBDataValue _typeForDescription:],X86_64,
Text Section (Local),-[DBGGDBDataValue baseTypeChanged:],X86_64,
Text Section (Local),-[DBGGDBDataValue blockStartAddress],X86_64,
Text Section (Local),-[DBGGDBDataValue childLoadBlock],X86_64,
Text Section (Local),-[DBGGDBDataValue childReplacedAtIndex:oldValue:newValue:],X86_64,
Text Section (Local),-[DBGGDBDataValue childValidityStatusChanged:],X86_64,
Text Section (Local),-[DBGGDBDataValue childValuesCountValid],X86_64,
Text Section (Local),-[DBGGDBDataValue childValues],X86_64,
Text Section (Local),-[DBGGDBDataValue childrenInserted],X86_64,
Text Section (Local),-[DBGGDBDataValue childrenRemoved],X86_64,
Text Section (Local),-[DBGGDBDataValue containsFunctionExpressions],X86_64,
Text Section (Local),-[DBGGDBDataValue countOfChildrenProxyValues],X86_64,
Text Section (Local),-[DBGGDBDataValue dynamicTypeChanged:],X86_64,
Text Section (Local),-[DBGGDBDataValue dynamicTypeHasChanged],X86_64,
Text Section (Local),-[DBGGDBDataValue expressionPath],X86_64,
Text Section (Local),-[DBGGDBDataValue format],X86_64,
Text Section (Local),-[DBGGDBDataValue hasChildValues],X86_64,
Text Section (Local),-[DBGGDBDataValue inScope],X86_64,
Text Section (Local),-[DBGGDBDataValue initWithPBXLSDataValue:stackFrame:],X86_64,
Text Section (Local),-[DBGGDBDataValue name],X86_64,
Text Section (Local),-[DBGGDBDataValue objectInChildrenProxyValuesAtIndex:],X86_64,
Text Section (Local),-[DBGGDBDataValue parent],X86_64,
Text Section (Local),-[DBGGDBDataValue pbxDataValue],X86_64,
Text Section (Local),-[DBGGDBDataValue setChildLoadBlock:],X86_64,
Text Section (Local),-[DBGGDBDataValue setContainsFunctionExpressions:],X86_64,
Text Section (Local),-[DBGGDBDataValue setFormat:],X86_64,
Text Section (Local),-[DBGGDBDataValue setParent:],X86_64,
Text Section (Local),-[DBGGDBDataValue setPbxDataValue:],X86_64,
